node_id,x_coord,y_coord,name
692,318009.0612,5813211.063,
693,318122.0612,5812990.063,
694,318099.0612,5813086.063,
695,318870.8168,5817780.977,
696,318870.8168,5817780.977,
697,318870.8168,5817780.977,
698,318128.696175,5817896.13625,
699,323492.0612,5815991.063,
700,323460.2785,5816041.2815000005,
701,323476.3317,5815940.175,
702,324819.0023,5816259.321,
703,324934.1618,5816264.323,
704,325064.2332,5816294.333,
705,324731.2314,5816280.454,
706,324731.2314,5816280.454,
707,324731.2314,5816280.454,
708,324384.20684999996,5816219.581,
709,324037.1823,5816158.708,
710,318383.0612,5815440.063,
711,318310.6575,5815129.738,
712,318292.1984,5815358.044,
713,318339.0612,5815566.063,
714,318309.0612,5815308.063,
715,318333.0612,5815417.063,
716,318331.0612,5815303.063,
717,320004.0612,5814464.063,
718,319960.8622,5814443.887,
719,320180.9992,5814442.118,
720,324184.0634,5813172.561000001,
721,324384.0612,5813163.063,
722,321665.0612,5812039.063,
723,321272.0612,5812141.063,
724,321757.2078,5811986.484,
725,325373.0612,5812303.063,
726,325423.2822,5812298.465,
727,325242.0007,5812274.693,
728,325595.9697,5812237.319,
729,325545.3458,5812247.3585,
730,325799.9629,5812212.291,
731,325494.7219,5812257.398,
732,325444.8591,5812289.747,
733,319121.3318,5813050.964,
734,319333.0612,5812846.063,
735,318616.0614,5813704.615,
736,319233.1549,5813117.385,
737,318932.5026,5812964.256,
738,319730.7656,5811958.981,
739,320014.092,5812065.108,
740,319577.7421,5811898.947,
741,319730.7656,5811958.981,
742,319592.1679,5812405.036,
743,319386.0612,5812329.063,
744,319470.0612,5812649.063,
745,319634.9987,5812340.293,
746,319276.7134,5812286.625,
747,321471.0612,5811019.063,
748,321487.0612,5810923.063,
749,321464.0612,5811121.063,
750,321511.8105,5810854.042,
751,320991.0912,5810203.968,
752,319185.0241,5814560.067,
753,319230.16044999997,5814828.732,
754,319185.0241,5814560.067,
755,318587.0612,5815405.063,
756,318526.8011,5814884.428,
757,319101.5271,5815255.998,
758,319275.2968,5815097.397,
759,322947.3007,5817073.918,
760,322982.6282,5817069.863,
761,327397.0612,5815600.063,
762,327108.1429,5815593.192,
763,327387.0612,5815641.063,
764,322423.9848,5814588.317,
765,322019.9994,5814633.707,
766,322531.0306,5814578.668,
767,322562.06805,5814860.8485,
768,322180.0612,5813785.063,
769,321924.0828,5813812.07,
770,322437.0536,5813753.166,
771,314302.0612,5816543.063,
772,314225.0612,5816638.063,
773,314302.0612,5816543.063,
774,314228.23735,5816768.742000001,
775,314283.0612,5816921.063,
776,314384.0612,5816903.063,
777,320068.0612,5812841.063,
778,320196.061,5812889.115,
779,319977.0878,5812805.129,
780,320391.0612,5812719.063,
781,320491.7565,5812756.005,
782,320278.0073,5812673.098,
783,320307.0612,5812591.063,
784,320360.0758,5812457.028,
785,320469.0612,5812497.063,
786,320579.6376,5812538.947,
787,320535.69705,5812647.476,
788,314036.3494,5814145.46,
789,314037.0612,5814114.063,
790,314034.9025,5814121.288,
791,314014.6414,5814110.506,
792,314077.4742,5814128.888,
793,314057.1712,5814134.296,
794,314098.4267,5814120.38,
795,314107.3787,5814109.238,
796,314109.3787,5814088.698,
797,314102.3787,5814077.508,
798,314090.5692,5814069.317,
799,314070.8867,5814068.0,
800,314055.4422,5814076.936,
801,314043.3787,5814091.682,
802,313708.72405,5813790.99,
803,313610.5691,5813821.622,
804,318278.9706,5817508.08,
805,317286.0612,5815325.063,
806,317104.1337,5815548.09,
807,317537.6112,5815003.104,
808,317069.0612,5815740.063,
809,318110.0614,5815635.065,
810,319522.84975,5813667.861500001,
811,319410.7008,5813781.039,
812,319634.9987,5813554.684,
813,319352.0612,5813533.063,
814,319444.9037,5813402.4690000005,
815,319267.7457,5813608.965,
816,319537.7462,5813271.875,
817,320074.8436,5811281.216,
818,319852.222,5811335.794,
819,320209.0612,5811256.063,
820,320337.0612,5811258.063,
821,320558.0612,5811415.063,
822,320524.921,5811409.232,
823,320817.0612,5811384.063,
824,320724.0612,5811364.063,
825,320837.0612,5811462.063,
826,320887.0612,5811562.063,
827,320752.0612,5811452.063,
828,319342.033,5811580.555,
829,319245.2404,5811586.947,
830,319408.3253,5811588.517,
831,314173.0953,5815255.225,
832,314637.52675,5814542.021500001,
833,314836.9685,5814681.109,
834,314438.085,5814402.934,
835,323337.8904,5814837.49,
836,322738.7518,5811776.471,
837,319440.7885,5811848.991,
838,319109.9616,5812730.745,
839,320227.0524,5812151.066,
840,320185.5476,5812261.5625,
841,320446.6456,5812240.421,
842,320279.8664,5811935.2905,
843,320202.9936,5811575.955,
844,319949.8066,5810953.061,
845,319998.0685,5810829.092,
846,319542.0729,5811063.073,
847,319211.0172,5810783.028,
848,318414.1542,5810246.147,
849,318333.8308,5810205.068,
850,319448.0884,5811181.07,
851,319779.2,5810767.063,
852,319299.5912,5810671.486,
853,318227.0612,5810461.063,
854,318598.0612,5810050.063,
855,322292.2925,5815297.622,
856,316556.0804,5814142.233,
857,313385.168,5813668.911,
858,316544.0667,5813491.119,
859,313270.0556,5811432.045,
860,314747.2805,5811446.838,
861,313531.0498,5811586.9,
862,314800.0477,5811872.031,
863,314775.2901,5811260.5365,
864,313126.6661,5811471.962,
865,318504.0612,5816522.063,
866,318613.0612,5816068.063,
867,318669.0612,5815900.063,
868,318590.0612,5816063.063,
869,318574.0612,5815934.063,
870,318533.0612,5816289.063,
871,318536.0303,5816372.808,
872,318549.0612,5816145.063,
873,318564.0612,5815974.063,
874,318571.0612,5816088.063,
875,318730.0612,5816340.063,
876,318769.0612,5816415.063,
877,318721.0612,5816277.063,
878,318800.7642,5816657.415,
879,318758.0612,5816019.063,
880,318673.0612,5815768.063,
881,318280.0612,5814695.063,
882,318261.1882,5814850.122,
883,318298.0612,5814701.063,
884,318344.9362,5814510.059,
885,318319.0612,5814057.063,
886,318329.0612,5813944.063,
887,318345.0612,5814253.063,
888,318385.0612,5813834.063,
889,318427.0612,5813808.063,
890,318334.0612,5814232.063,
891,318292.0612,5814102.063,
892,318276.0612,5814106.063,
893,318321.0612,5814245.063,
894,318824.0612,5817848.063,
895,323759.9595,5817895.055,
896,323416.0669,5817935.108,
897,315498.2976,5817578.402,
898,323246.0612,5810879.063,
899,323718.0718,5817597.062,
900,324115.657,5817849.342,
901,324296.0612,5817824.063,
902,318864.0612,5817481.063,
903,314270.8492,5817694.3995,
904,313864.7661,5817704.967,
905,314676.9323,5817683.832,
906,324849.0612,5817456.063,
907,320227.0612,5817600.063,
908,313467.7756,5817647.485,
909,313810.4519,5817283.075,
910,318331.9674,5817282.113,
911,314645.0612,5817122.063,
912,326646.0612,5817540.063,
913,326126.0612,5817248.063,
914,323686.4667,5817367.742,
915,315843.0612,5817140.063,
916,315997.5924,5817511.282,
917,315406.7826,5814286.324,
918,314197.2008,5812779.211,
919,314950.9723,5813112.072,
920,320157.0602,5816987.056,
921,326677.349,5815329.926,
922,324552.7521,5811146.6,
923,326259.9952,5811865.071,
924,327115.0485,5812288.065,
925,321848.7501,5810426.655,
