node_id,zone_id,name,bin_index,node_type,control_type,x_coord,y_coord,geometry,production,attraction
143,143,,,,,319502.2192,5810386.573,,1,1
144,144,,,,,318935.9599,5810103.434,,1,1
145,145,,,,,319233.6044,5809613.259,,1,1
146,146,,,,,319070.1842,5810296.301,,1,1
147,147,,,,,318850.0612,5810441.063,,1,1
148,148,,,,,319002.4674,5810202.632,,1,1
149,149,,,,,319200.0612,5810473.063,,1,1
150,150,,,,,318587.3953,5810785.264,,1,1
151,151,,,,,318714.0776,5810617.076,,1,1
152,152,,,,,319100.6005,5810916.5,,1,1
153,153,,,,,318081.6396,5810650.358,,1,1
154,154,,,,,326577.7428,5809715.609,,1,1
155,155,,,,,326519.0612,5809264.063,,1,1
156,156,,,,,326322.6137,5809752.903,,1,1
157,157,,,,,326798.0025,5809691.649,,1,1
158,158,,,,,326468.2293,5808856.494,,1,1
159,159,,,,,326224.7703,5808882.623,,1,1
160,160,,,,,326684.0339,5808819.712,,1,1
161,161,,,,,326212.0612,5808772.063,,1,1
162,162,,,,,325925.0538,5808930.66,,1,1
163,163,,,,,325867.9497,5808370.123,,1,1
164,164,,,,,327107.794,5808755.551,,1,1
165,165,,,,,327080.0612,5808470.063,,1,1
166,166,,,,,327000.9541,5808772.321,,1,1
167,167,,,,,324487.1867,5810415.813,,1,1
168,168,,,,,324496.0612,5810500.063,,1,1
169,169,,,,,324454.6891,5810227.11,,1,1
170,170,,,,,326730.7483,5811401.514,,1,1
171,171,,,,,326667.0612,5810883.063,,1,1
172,172,,,,,326579.1956,5811419.938,,1,1
173,173,,,,,326997.0022,5811367.707,,1,1
174,174,,,,,327361.1995,5810806.185,,1,1
175,175,,,,,326935.039,5810856.035,,1,1
176,176,,,,,326908.0612,5810615.063,,1,1
177,177,,,,,326857.0612,5810177.063,,1,1
178,178,,,,,327423.7473,5811311.533,,1,1
179,179,,,,,324331.9055,5812676.987,,1,1
180,180,,,,,323927.0583,5812727.105,,1,1
181,181,,,,,324460.0612,5812664.063,,1,1
182,182,,,,,324290.0488,5812386.699,,1,1
183,183,,,,,323199.7579,5811710.535,,1,1
184,184,,,,,323169.0612,5811449.063,,1,1
185,185,,,,,322995.0469,5811737.946,,1,1
186,186,,,,,323397.2385,5811687.637,,1,1
187,187,,,,,323729.0227,5811111.306,,1,1
188,188,,,,,323487.0612,5811140.063,,1,1
189,189,,,,,323753.9624,5811266.076,,1,1
190,190,,,,,323702.524,5810776.232,,1,1
191,191,,,,,323134.0612,5811186.063,,1,1
192,192,,,,,326832.9454,5814827.894,,1,1
193,193,,,,,326796.0612,5814601.063,,1,1
194,194,,,,,326967.04915,5814955.0045,,1,1
195,195,,,,,326582.8059,5814630.428,,1,1
196,196,,,,,326700.5112,5813825.567,,1,1
197,197,,,,,327085.0735,5814007.586,,1,1
198,198,,,,,326711.0612,5813936.063,,1,1
199,199,,,,,326635.1731,5813788.25,,1,1
200,200,,,,,327055.9789,5813735.722,,1,1
201,201,,,,,327315.0093,5814115.607,,1,1
202,202,,,,,327023.2077,5813486.176,,1,1
203,203,,,,,326845.576,5813761.986,,1,1
204,204,,,,,327261.2703,5813713.571,,1,1
205,205,,,,,326887.0612,5813505.063,,1,1
206,206,,,,,327261.075,5813455.036,,1,1
207,207,,,,,327377.4122,5812908.783,,1,1
208,208,,,,,327083.0112,5812048.67,,1,1
209,209,,,,,324257.5881,5808605.717,,1,1
210,210,,,,,323113.9682,5809338.323,,1,1
211,211,,,,,323353.9542,5809308.321,,1,1
212,212,,,,,322891.9579,5809366.321,,1,1
213,213,,,,,325088.8077,5808759.992,,1,1
214,214,,,,,325120.4045,5809047.622,,1,1
215,215,,,,,325066.3221,5808486.714,,1,1
216,216,,,,,325467.1359,5808428.4185,,1,1
217,217,,,,,325867.9497,5808370.123,,1,1
218,218,,,,,325066.3221,5808486.714,,1,1
219,219,,,,,326737.0612,5809242.063,,1,1
220,220,,,,,326773.5612,5809489.743,,1,1
221,221,,,,,326654.0612,5808545.063,,1,1
222,222,,,,,325897.0612,5808650.063,,1,1
223,223,,,,,325182.8042,5809515.961,,1,1
224,224,,,,,325236.1824,5809878.13,,1,1
225,225,,,,,324379.2899,5809648.169,,1,1
226,226,,,,,324329.2856,5809295.279,,1,1
227,227,,,,,321198.0612,5808677.063,,1,1
