link_id,link_id_new,from_node_old,to_node_old,from_node_new,to_node_new,x_from,y_from,x_to,y_to,bias,mae,rmse,mape
11233,315,66089,66078,302,291,325512.0612,5817245.063,325466.1022,5816868.079,,,,
11234,316,66091,66090,304,303,325752.0612,5817654.063,325557.0715,5817672.095,,,,
11235,317,66091,66092,304,305,325752.0612,5817654.063,326169.0656,5817598.084,,,,
11241,318,317289,66097,1932,306,324886.3583,5818108.678,324863.0738,5817750.077,-7.761969,20.257269,22.625565,0.29012415
11246,319,317291,66090,1933,303,325612.0433,5818145.736,325557.0715,5817672.095,-142.6747,142.6747,150.9924,0.6195423
11248,320,317293,66092,1934,305,326231.0384,5818073.694,326169.0656,5817598.084,,,,
11508,321,66275,66276,307,308,317454.0612,5817395.063,317416.181,5817380.107,,,,
11512,325,66279,64051,311,54,317500.0612,5817174.063,317684.0612,5816834.063,,,,
11513,326,66279,66276,311,308,317500.0612,5817174.063,317416.181,5817380.107,-3.6520023,15.640568,18.519487,0.11987263
12644,327,66923,65146,312,233,322227.0612,5808851.063,322332.9536,5808882.438,,,,
12645,328,66923,66924,312,313,322227.0612,5808851.063,322136.3507,5808822.415,35.167812,35.167812,38.662853,0.44374895
12646,329,66925,66926,314,315,322329.0612,5808525.063,322438.9002,5808546.852,,,,
12647,330,66925,66927,314,316,322329.0612,5808525.063,322230.7236,5808511.797,,,,
12648,331,66928,65146,317,233,322383.346,5808716.838,322332.9536,5808882.438,,,,
12649,332,66928,66926,317,315,322383.346,5808716.838,322438.9002,5808546.852,,,,
12656,335,66933,66934,318,319,325106.0096,5813213.692,324808.7423,5813238.55,,,,
12758,337,67025,67026,321,322,313515.0612,5811237.063,313501.5195,5811376.141,,,,
12759,338,67025,67027,321,323,313515.0612,5811237.063,313543.4566,5811015.848,,,,
13812,339,67494,67495,324,325,323023.0612,5815122.063,323198.2954,5815110.753,,,,
14668,340,68148,68149,326,327,323077.4139,5815079.651,323166.2021,5815038.957,,,,
14669,341,68150,68151,328,329,323467.0612,5814971.063,323200.0612,5815012.063,,,,
14670,342,68152,68153,330,331,323674.0612,5814934.063,323411.9662,5814938.571,,,,
14671,343,68154,68150,332,328,323672.0612,5814954.063,323467.0612,5814971.063,,,,
14672,344,64420,68155,86,333,323215.2526,5815028.816,323720.8976,5815001.821,,,,
14673,345,68155,68156,333,334,323720.8976,5815001.821,323873.8769,5815011.33,,,,
