loc_id,link_id,ref_node_id,lr,x_coord,y_coord,z_coord,loc_type,zone_id,gfts_stop_id
248381,40271,,,320068.7593,5813990.536,,Detector,,
248382,40274,,,320090.0002,5814003.193,,Detector,,
248383,40274,,,320090.0002,5814003.193,,Detector,,
248384,40277,,,320080.2188,5813970.904,,Detector,,
248385,40277,,,320080.2188,5813970.904,,Detector,,
248403,35681,,,320345.6164,5813724.614,,Detector,,
248404,35681,,,320345.6164,5813724.614,,Detector,,
248405,40276,,,320362.1045,5813739.347,,Detector,,
248406,40276,,,320362.1045,5813739.347,,Detector,,
248407,55574,,,320369.068,5813699.243,,Detector,,
248408,55574,,,320369.068,5813699.243,,Detector,,
248409,55577,,,320384.3883,5813712.235,,Detector,,
248426,35643,,,321624.23,5813842.254,,Detector,,
248427,35643,,,321624.23,5813842.254,,Detector,,
248428,35834,,,321603.2715,5813830.889,,Detector,,
248429,36591,,,321613.183,5813863.136,,Detector,,
248439,35460,,,321205.7189,5813869.34,,Detector,,
248440,35464,,,321226.9718,5813882.202,,Detector,,
248441,40254,,,321217.2594,5813849.892,,Detector,,
248455,22323,,,321940.255,5813807.339,,Detector,,
248456,22323,,,321940.255,5813807.339,,Detector,,
248457,35542,,,321928.9301,5813828.214,,Detector,,
248458,35542,,,321928.9301,5813828.214,,Detector,,
248459,35610,,,321907.8924,5813816.873,,Detector,,
248460,35862,,,321919.3962,5813795.852,,Detector,,
248461,35862,,,321919.3962,5813795.852,,Detector,,
248479,35414,,,320674.0479,5813700.14,,Detector,,
248480,35414,,,320674.0479,5813700.14,,Detector,,
248481,35773,,,320687.9945,5813674.617,,Detector,,
248482,35773,,,320687.9945,5813674.617,,Detector,,
248483,35804,,,320663.191,5813662.24,,Detector,,
248484,40295,,,320650.2567,5813686.993,,Detector,,
248485,40295,,,320650.2567,5813686.993,,Detector,,
248503,35461,,,320935.9409,5813673.617,,Detector,,
248504,35461,,,320935.9409,5813673.617,,Detector,,
248505,35774,,,320911.5525,5813659.118,,Detector,,
248506,35774,,,320911.5525,5813659.118,,Detector,,
248507,35795,,,320950.354,5813647.342,,Detector,,
248508,35795,,,320950.354,5813647.342,,Detector,,
248509,35823,,,320923.5082,5813635.081,,Detector,,
248526,35412,,,320937.7172,5813898.332,,Detector,,
248527,35454,,,320959.0434,5813911.18,,Detector,,
248528,35454,,,320959.0434,5813911.18,,Detector,,
248529,35598,,,320970.4035,5813891.786,,Detector,,
248530,35785,,,320949.4977,5813878.823,,Detector,,
248531,35785,,,320949.4977,5813878.823,,Detector,,
248546,35797,,,321193.1983,5813547.521,,Detector,,
248547,35811,,,321209.5302,5813533.663,,Detector,,
248548,35811,,,321209.5302,5813533.663,,Detector,,
248549,35954,,,321167.5156,5813523.27,,Detector,,
248550,35954,,,321167.5156,5813523.27,,Detector,,
248551,35962,,,321190.3718,5813507.931,,Detector,,
248568,35787,,,321175.6061,5813629.293,,Detector,,
248569,35809,,,321218.1539,5813616.884,,Detector,,
248570,35866,,,321188.9224,5813604.585,,Detector,,
248571,35866,,,321188.9224,5813604.585,,Detector,,
248572,40255,,,321200.2646,5813643.526,,Detector,,
248573,40255,,,321200.2646,5813643.526,,Detector,,
248588,35837,,,321565.2977,5813434.495,,Detector,,
248589,35837,,,321565.2977,5813434.495,,Detector,,
248590,35987,,,321539.6906,5813413.923,,Detector,,
248591,36001,,,321579.5223,5813409.937,,Detector,,
248592,36001,,,321579.5223,5813409.937,,Detector,,
248593,36129,,,321556.5885,5813395.411,,Detector,,
248609,35611,,,321582.2103,5813583.518,,Detector,,
248610,35611,,,321582.2103,5813583.518,,Detector,,
248611,35815,,,321558.4017,5813572.315,,Detector,,
248612,35815,,,321558.4017,5813572.315,,Detector,,
248613,35856,,,321596.2924,5813557.25,,Detector,,
248614,35856,,,321596.2924,5813557.25,,Detector,,
248615,35964,,,321571.8247,5813544.632,,Detector,,
248630,35816,,,321483.9705,5813414.283,,Detector,,
248631,35965,,,321510.6294,5813396.26,,Detector,,
248632,35965,,,321510.6294,5813396.26,,Detector,,
248633,36070,,,321469.6658,5813392.146,,Detector,,
248634,36070,,,321469.6658,5813392.146,,Detector,,
248635,36130,,,321495.8971,5813375.765,,Detector,,
248648,35796,,,321354.4877,5813608.788,,Detector,,
248649,35814,,,321397.0127,5813594.812,,Detector,,
248650,35867,,,321354.897,5813597.19,,Detector,,
248651,35867,,,321358.1863,5813598.482,,Detector,,
248664,35864,,,322032.8033,5813515.801,,Detector,,
248665,36035,,,322046.8393,5813489.628,,Detector,,
248666,36035,,,322046.8393,5813489.628,,Detector,,
248667,36592,,,322071.3127,5813502.308,,Detector,,
248678,35644,,,321900.0603,5813546.557,,Detector,,
248679,35644,,,321900.0603,5813546.557,,Detector,,
248680,35857,,,321875.7709,5813533.708,,Detector,,
248681,35877,,,321914.3191,5813520.326,,Detector,,
248695,35878,,,322039.9115,5813375.22,,Detector,,
248696,35878,,,322039.9115,5813375.22,,Detector,,
248697,36009,,,322019.0428,5813364.352,,Detector,,
248698,36009,,,322019.0428,5813364.352,,Detector,,
248699,36055,,,322051.2679,5813354.383,,Detector,,
248700,36055,,,322051.2679,5813354.383,,Detector,,
248701,36090,,,322030.2622,5813342.891,,Detector,,
248714,35836,,,321793.83,5813542.877,,Detector,,
248715,35863,,,321832.3515,5813529.419,,Detector,,
248716,36000,,,321808.3198,5813516.505,,Detector,,
248717,36000,,,321808.3198,5813516.505,,Detector,,
248731,35858,,,321804.5119,5813405.335,,Detector,,
248732,35858,,,321804.5119,5813405.335,,Detector,,
248733,35966,,,321783.8809,5813393.834,,Detector,,
248734,35966,,,321783.8809,5813393.834,,Detector,,
248735,36008,,,321816.2745,5813384.406,,Detector,,
248736,36008,,,321816.2745,5813384.406,,Detector,,
248737,36126,,,321794.8294,5813373.026,,Detector,,
248750,32061,,,321906.8624,5816361.016,,Detector,,
248751,33869,,,321916.759,5816393.265,,Detector,,
248752,34051,,,321895.7561,5816380.521,,Detector,,
248753,34095,,,321928.398,5816373.759,,Detector,,
248765,34032,,,321497.0216,5816428.082,,Detector,,
