link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,geometry
1639,195,192,AM,1108.0777957904274,0.7426138045526534,25.74868873831487,1.5829682797006106,
1640,195,1158,AM,7317.739943131975,29.41029236674247,1.7143003098383398,4.304552907724691,
1641,195,1106,AM,3402.4795027419996,1.129169443588411,26.416135172143527,2.0014585310247055,
1642,1037,866,AM,6847.234532289982,3.162043893148987,5.485370402622011,2.853014388454159,
1643,1956,1159,AM,400.62928159909046,0.7189342989786688,49.208035204330784,0.5723275451415578,
1644,1144,1138,AM,213.05206138484877,0.2699263143588605,49.91358292935435,0.32777240213053654,
1645,1144,917,AM,1227.1476722923967,1.0413573823199431,17.20832128865938,1.8879194958344565,
1646,766,764,AM,4603.02153647571,2.3897605432436677,2.6985079172056317,3.287872526054078,
1647,766,767,AM,629.7896205849543,0.27168614143600284,49.590271352650475,0.48445355429611864,
1648,766,1140,AM,255.42534244057728,0.33026603248573216,49.867391401013535,0.3648933463436818,
1649,766,1160,AM,4574.294604501675,9.031554126581755,2.0838549897921546,3.518688157308981,
1650,1161,1162,AM,3880.0800684009996,0.54023587708806,24.939086884023844,2.042147404421579,
1651,1161,1141,AM,5085.727531253025,1.302384965160826,10.344859497746302,2.6766987006594865,
1652,1080,1041,AM,500.389212537882,0.4329539816042455,49.835906278548,0.38491477887529385,
1653,1080,1109,AM,1561.7312549444098,0.4739320794729765,38.09747191085584,1.2013317345726229,
1654,1140,1119,AM,721.4716423705395,0.28041100409696285,48.04729229494558,0.7214716423705395,
1655,1140,766,AM,4409.9635327186315,5.1937944192471335,3.170996804839494,3.1499739519418797,
1656,1140,1163,AM,2336.7948887656908,3.538818071832921,2.5472964236124827,3.338278412522415,
1657,1140,1164,AM,756.3122169019802,0.4370126294742585,47.660852910176494,0.7563122169019801,
1658,1163,1140,AM,4326.65047630488,2.6472027989511573,3.4052618189157267,3.0904646259320567,
1659,1163,953,AM,2336.7948887656908,8.261939408981325,2.547296423612483,3.338278412522415,
1660,1155,833,AM,181.1227777353769,0.2276337133932166,49.95482402380837,0.27865042728519523,
1661,1155,1165,AM,1739.2635245329943,2.4672633317813224,5.754055907617355,2.6757900377430683,
1662,1109,656,AM,1840.4320270980525,0.8046379811220739,31.200169541244676,1.4157169439215789,
1663,1109,1080,AM,500.389212537882,0.3623013091094785,49.83590627854799,0.38491477887529385,
1664,67,63,AM,247.7562217481924,0.3048409540178089,49.84219046839244,0.3811634180741421,
1665,67,1166,AM,1088.3068382175147,0.645731913863564,26.64670845011319,1.5547240545964496,
1666,67,1159,AM,80.39036251665387,0.23588101785156915,49.998695410976744,0.11484337502379123,
1667,1156,984,AM,767.9928895994433,0.20816635136917166,89.64106759236276,0.404206783999707,
1668,1156,1167,AM,6666.970870861572,0.858291005032733,3.791064695002417,3.508932037295564,
1669,953,1163,AM,4326.65047630488,6.180320288941045,3.405261818915728,3.0904646259320567,
1670,953,954,AM,2088.7560371405903,0.9145884932008211,13.910921386654588,2.457360043694812,
1671,953,1168,AM,22341.00945184069,35.45602382018307,0.4994107115294281,5.879213013642287,
1672,953,1169,AM,3004.026339733405,0.17740739767083707,85.01931127966245,0.7905332472982645,
1673,1170,1171,AM,2612.07294579457,0.3570092991746485,60.05338770494617,1.4511516365525388,
1674,954,953,AM,5291.252843735803,2.131435929814284,5.9691067660495225,3.1125016727857666,
1675,954,1172,AM,2088.7560371405903,0.3371633713621875,13.910921386654604,2.457360043694812,
1676,1166,67,AM,134.7547188525029,0.3442034935034086,49.989701936263465,0.19250674121786127,
1677,1166,70,AM,1034.6227466449698,0.6642352185046096,29.139931929660456,1.4780324952070996,
1678,1173,441,AM,1120.9176094574163,0.20166102348758208,61.91358646407736,1.3187265993616664,
1679,1173,603,AM,1308.5842722948175,0.9903197604602093,34.725999541836856,1.3085842722948176,
1680,1173,1172,AM,4611.403857988461,0.7105295246324046,9.866960878224212,2.7125905046990946,
1681,937,969,AM,1584.679750335669,1.5716793343302498,7.937614966451998,2.4379688466702603,
1682,937,1174,AM,1174.318132579984,2.1248942128328707,19.24546108407359,1.806643280892283,
1683,718,717,AM,3803.2897187602744,0.685934924764274,4.170513256597961,2.925607475969442,
1684,718,972,AM,6831.986943883627,0.3220228069167881,35.05663715803743,1.797891301022007,
1685,718,965,AM,8897.485421148724,2.2803534188530152,5.902069883204936,3.1219247091749907,
1686,718,1175,AM,3523.497236578633,18.24864810837356,0.38308590804216097,5.420764979351743,
1687,719,717,AM,339.0403218962758,0.2141008951531664,49.965326954440314,0.26080024761251985,
1688,719,963,AM,4630.734673136855,0.16360694523771363,14.30230979339695,2.437228775335187,
1689,719,964,AM,5325.30543950445,1.5161763710963738,1.1564094781444687,4.096388799618808,
1690,719,932,AM,10454.92080401579,3.8027027902521047,3.195561098616695,3.668393264566944,
1691,70,68,AM,1237.5382608275206,0.3364962768536945,44.51632515752743,0.951952508328862,
1692,70,788,AM,1477.4028954167309,0.44058592351691483,39.99311580745039,1.1364637657051775,
1693,70,1166,AM,124.51864040330123,0.38717352131508703,49.992491704399065,0.17788377200471606,
1694,70,834,AM,1796.1311874084163,3.3183317389325278,6.664831513430941,2.5659016962977375,
1695,441,439,AM,1326.5259102878765,0.2828985769540544,47.62480469724704,1.5606187179857371,
1696,441,1173,AM,3862.7149106723527,0.6933945056034271,18.00642651944175,2.272185241571972,
1697,969,937,AM,1231.7333980711314,0.7321092097089985,17.040333929963627,1.8949744585709714,
1698,969,970,AM,1833.8739423955253,3.8470103848779362,6.19881709121053,2.6198199177078934,
1699,834,832,AM,5740.51106879602,0.519302906246329,25.94437526635968,2.0142144101038664,
1700,834,70,AM,355.3439076407786,0.44672832806087387,49.50687152895736,0.5076341537725408,
1701,834,1176,AM,2347.9254376055464,1.7158444533966306,2.501735758106862,3.354179196579352,
1702,834,1177,AM,6455.827224834219,0.4769806330010249,18.18441344174506,2.2652025350295504,
1703,964,719,AM,4408.27673001197,0.7305463584839625,2.400012957032654,3.390982100009208,
1704,964,1178,AM,5308.2187809254965,14.612276239715154,1.1710206136769552,4.083245216096536,
1705,1158,195,AM,2846.4015409332687,1.220626526476369,41.305077534474556,1.674353847607805,
1706,1158,1179,AM,7415.673545327385,3.016118233910939,1.6271252973118497,4.362160909016109,
